Issue Type,Summary,Description,Story Points,Parent,Labels,Priority
Sub-task,BE-2: Business rule validation,"Implement validation to ensure reset only clears completed tasks",,STORY 6: Daily Reset,"Backend,Logic",High
Sub-task,QA-1: Reset scenario test,"Write tests to verify reset behavior and edge cases",,STORY 6: Daily Reset,"QA,Testing",Medium
Story,STORY 7: Streak Counter,"Track consecutive days of task completion",3,EPIC: Frog Productivity Tracker,"Story,Backend,Frontend",Medium
Sub-task,BE-1: Streak entity/table,"Create database entity and table to track user streaks",,STORY 7: Streak Counter,"Backend,Database",High
Sub-task,BE-2: Increment logic,"Implement logic to increment streak on daily completion",,STORY 7: Streak Counter,"Backend,Logic",High
Sub-task,BE-3: Persist daily completion,"Save daily completion status to maintain streak history",,STORY 7: Streak Counter,"Backend,Database",High
Sub-task,FE-1: Show streak UI,"Display current streak count in the user interface",,STORY 7: Streak Counter,"Frontend,UI",Medium
Sub-task,QA-1: Multi-day flow test,"Write tests to verify streak calculation across multiple days",,STORY 7: Streak Counter,"QA,Testing",Medium
Story,STORY 8: CSV Export,"Export task data to CSV format",2,EPIC: Frog Productivity Tracker,"Story,Frontend",Low
Sub-task,FE-1: CSV generator logic,"Implement client-side logic to convert task data to CSV format",,STORY 8: CSV Export,"Frontend,Export",Medium
Sub-task,FE-2: Download button,"Create UI button to trigger CSV download",,STORY 8: CSV Export,"Frontend,UI",Medium
Sub-task,QA-1: File format validation,"Write tests to verify CSV format correctness and data integrity",,STORY 8: CSV Export,"QA,Testing",Medium
Epic,EPIC 2: Platform Enhancements,"Advanced features and platform improvements for scalability and user experience",,,"Epic,Enhancement",Medium
Story,STORY 9: Authentication,"Implement user authentication and authorization",8,EPIC 2: Platform Enhancements,"Story,Backend,Frontend,Security",High
Sub-task,BE-1: User entity,"Create JPA entity for User with authentication fields",,STORY 9: Authentication,"Backend,Database",High
Sub-task,BE-2: JWT auth filter,"Implement JWT authentication filter for securing API endpoints",,STORY 9: Authentication,"Backend,Security",High
Sub-task,BE-3: Login/Register APIs,"Create REST API endpoints for user registration and login",,STORY 9: Authentication,"Backend,API",High
Sub-task,FE-1: Auth screens,"Create login and registration UI screens",,STORY 9: Authentication,"Frontend,UI",Medium
Sub-task,FE-2: Token storage,"Implement secure token storage (localStorage/sessionStorage) and management",,STORY 9: Authentication,"Frontend,Security",Medium
Sub-task,QA-1: Security tests,"Write security tests for authentication flows and token validation",,STORY 9: Authentication,"QA,Security",High
Story,STORY 10: Analytics Dashboard,"Provide insights and statistics on task completion",5,EPIC 2: Platform Enhancements,"Story,Backend,Frontend,Analytics",Medium
Sub-task,BE-1: Stats aggregation APIs,"Create REST API endpoints to aggregate task statistics",,STORY 10: Analytics Dashboard,"Backend,API",High
Sub-task,BE-2: Date-based queries,"Implement database queries to filter stats by date ranges",,STORY 10: Analytics Dashboard,"Backend,Database",High
Sub-task,FE-1: Chart UI,"Create chart components to visualize task completion trends",,STORY 10: Analytics Dashboard,"Frontend,UI,Charts",Medium
Sub-task,FE-2: Filters,"Implement UI filters for date range and task category selection",,STORY 10: Analytics Dashboard,"Frontend,UI",Medium
Sub-task,QA-1: Data accuracy tests,"Write tests to verify statistical calculations and data accuracy",,STORY 10: Analytics Dashboard,"QA,Testing",Medium
Story,STORY 11: Mobile UX,"Optimize user experience for mobile devices",3,EPIC 2: Platform Enhancements,"Story,Frontend,Mobile",Low
Sub-task,FE-1: Responsive layout,"Implement responsive CSS to adapt UI for mobile screen sizes",,STORY 11: Mobile UX,"Frontend,Responsive",Medium
Sub-task,FE-2: Swipe delete,"Add swipe gesture support for deleting tasks on mobile",,STORY 11: Mobile UX,"Frontend,Mobile",Medium
Sub-task,FE-3: Touch drag reorder,"Implement touch-friendly drag and drop for task reordering",,STORY 11: Mobile UX,"Frontend,Mobile",Medium
Sub-task,QA-1: Mobile testing,"Write tests and perform manual testing on various mobile devices",,STORY 11: Mobile UX,"QA,Mobile",Medium
